rnn/human_mpra/HepG2_clean.tsv_3    PearsonRResult(statistic=np.float64(0.7610568088368463), pvalue=np.float64(0.0)) 
rnn/human_mpra/HepG2_clean.tsv_4    PearsonRResult(statistic=np.float64(0.77240547798068), pvalue=np.float64(0.0)) 
rnn/human_mpra/HepG2_clean.tsv_0    PearsonRResult(statistic=np.float64(0.7682043191159299), pvalue=np.float64(0.0)) 
rnn/human_mpra/HepG2_clean.tsv_5    PearsonRResult(statistic=np.float64(0.6222183255382421), pvalue=np.float64(0.0)) 
rnn/human_mpra/HepG2_clean.tsv_1    PearsonRResult(statistic=np.float64(0.7677536126669987), pvalue=np.float64(0.0)) 
rnn/human_mpra/HepG2_clean.tsv_6    PearsonRResult(statistic=np.float64(0.6081855327293588), pvalue=np.float64(0.0)) 
rnn/human_mpra/HepG2_clean.tsv_2    PearsonRResult(statistic=np.float64(0.7726308962853927), pvalue=np.float64(0.0)) 
rnn/human_mpra/HepG2_clean.tsv_9    PearsonRResult(statistic=np.float64(0.7736973416765256), pvalue=np.float64(0.0)) 
rnn/human_mpra/HepG2_clean.tsv_7    PearsonRResult(statistic=np.float64(0.7580990109183834), pvalue=np.float64(0.0)) 
rnn/human_mpra/HepG2_clean.tsv_8    PearsonRResult(statistic=np.float64(0.7670733679983469), pvalue=np.float64(0.0)) 
rnn/human_mpra/K562_clean.tsv_7    PearsonRResult(statistic=np.float64(0.7690969695618293), pvalue=np.float64(0.0)) 
rnn/human_mpra/K562_clean.tsv_9    PearsonRResult(statistic=np.float64(0.7788916219070265), pvalue=np.float64(0.0)) 
rnn/human_mpra/K562_clean.tsv_8    PearsonRResult(statistic=np.float64(0.785838368309815), pvalue=np.float64(0.0)) 
rnn/human_mpra/K562_clean.tsv_6    PearsonRResult(statistic=np.float64(0.7662775019457467), pvalue=np.float64(0.0)) 
rnn/human_mpra/K562_clean.tsv_2    PearsonRResult(statistic=np.float64(0.7748297838001386), pvalue=np.float64(0.0)) 
rnn/human_mpra/K562_clean.tsv_5    PearsonRResult(statistic=np.float64(0.7770790991708161), pvalue=np.float64(0.0)) 
